3	39		50	8190			3-50	8190
4	84		100	2206			51-100	2206
5	60		150	605			101-150	605
6	86		200	62			151-200	62
7	68		250	34			201-250	34
8	73		300	4			251-300	4
9	159		350	0			301-350	0
10	145		400	0			351-400	0
11	139		450	0			401-450	0
12	187		500	1			451-500	1
13	199							
14	228							
15	235							
16	260							
17	249							
18	309							
19	260							
20	432							
21	325							
22	252							
23	208							
24	204							
25	198							
26	278							
27	183							
28	192							
29	300							
30	169							
31	150							
32	118							
33	154							
34	155							
35	152							
36	176							
37	138							
38	202							
39	206							
40	112							
41	131							
42	90							
43	114							
44	77							
45	104							
46	109							
47	171							
48	136							
49	89							
50	85							
51	116							
52	106							
53	65							
54	61							
55	69							
56	70							
57	75							
58	68							
59	33							
60	65							
61	45							
62	59							
63	48							
64	37							
65	38							
66	40							
67	62							
68	31							
69	50							
70	50							
71	60							
72	56							
73	46							
74	36							
75	53							
76	22							
77	34							
78	25							
79	29							
80	30							
81	48							
82	38							
83	20							
84	9							
85	20							
86	20							
87	34							
88	14							
89	8							
90	37							
91	38							
92	13							
93	36							
94	38							
95	41							
96	55							
97	36							
98	48							
99	49							
100	25							
101	33							
102	36							
103	44							
104	33							
105	17							
106	39							
107	31							
108	20							
109	20							
110	14							
111	22							
112	22							
113	16							
114	11							
115	19							
116	21							
117	14							
118	9							
119	4							
120	14							
121	4							
122	6							
123	6							
124	9							
125	6							
126	11							
127	2							
128	4							
129	7							
130	5							
131	1							
132	8							
133	13							
134	7							
135	2							
136	5							
137	7							
138	18							
139	6							
140	2							
141	11							
142	6							
144	7							
145	3							
146	4							
148	6							
151	6							
152	1							
154	1							
155	1							
156	5							
157	2							
159	2							
161	1							
162	1							
163	3							
164	1							
166	1							
169	4							
171	1							
172	1							
173	1							
174	2							
176	1							
177	2							
178	4							
180	1							
182	1							
184	2							
185	2							
186	2							
187	2							
189	1							
194	1							
196	6							
197	1							
198	1							
199	1							
201	1							
203	1							
206	1							
211	1							
213	2							
214	2							
215	2							
216	2							
217	1							
222	1							
223	1							
224	1							
228	3							
231	1							
235	2							
236	4							
238	1							
244	1							
247	3							
248	1							
249	1							
250	1							
259	1							
261	1							
263	2							
276	3							
462	1							
